channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
P7,48,1,2,1.002220,0.811972,0.914681,0.989836,2.204775,2.501038,1.893846,1.963522,3.289595,1.027311,3.685847,1.081122,0.480369,1.401149,0.878664,1.496767,1.324687,1.008463,4.084032,3.006888,2.486452,0.880128,0.438385,1.728717,1.074718,0.853884,2.239329
P7,49,1,2,1.315117,0.695847,1.690752,1.366309,2.708253,2.767948,1.921813,2.831975,4.020000,0.951440,3.250002,0.979512,0.432231,1.892679,1.118596,1.550226,2.322648,0.825167,3.259562,3.341307,2.708588,1.315143,0.514589,1.299273,1.166100,0.875759,2.486652
P7,50,1,2,1.427187,0.703058,1.599528,1.401829,2.475252,2.905609,1.904924,2.795657,4.277011,0.979554,3.268816,1.093351,0.408200,3.091338,1.151921,1.385446,2.326264,0.895391,3.257413,3.674210,2.860537,1.302880,0.520136,1.219923,1.213066,1.005571,2.502616
P7,51,1,2,1.436754,0.656058,1.300403,1.361059,2.758222,2.754642,1.866994,2.828824,3.628146,1.020103,3.223925,0.848115,0.498745,2.480204,1.324170,1.794939,2.002627,0.901626,3.388295,3.563474,3.105382,1.171959,0.510755,1.217581,0.912921,1.088553,2.777053
P7,53,1,2,1.810122,0.712861,1.260429,1.152726,2.635422,2.911627,2.056257,2.506274,3.919639,1.082677,3.275918,0.919308,0.404287,1.471743,0.953786,1.298424,1.958698,0.937335,3.972496,2.630947,2.397869,0.919132,0.553218,1.512634,0.898845,0.889312,2.561826
P7,54,1,2,1.576866,0.702189,1.614887,1.338271,2.567093,3.095962,1.972116,3.066943,4.906548,1.036117,3.275223,1.160567,0.410651,2.426478,1.046330,1.328907,2.453487,0.832153,3.312432,3.148509,2.556144,1.346944,0.536169,1.216870,1.148323,0.948130,2.625050
P7,55,1,2,1.400117,0.710965,1.587029,1.365975,2.546080,3.100508,1.941489,3.024775,5.235819,1.079491,3.227283,1.131666,0.410199,2.750584,1.078986,1.291931,2.402027,0.926508,3.411114,3.044230,2.665703,1.404499,0.523246,1.172615,1.072585,0.899313,2.653371
P7,56,1,2,1.179243,0.699917,1.139372,1.270364,2.533207,2.851145,1.868841,2.326374,4.291608,1.124877,3.151103,0.773923,0.505485,1.561649,1.280418,1.902637,1.935335,1.047509,3.651239,2.705589,2.735929,0.954887,0.486999,1.200764,0.850706,0.889991,2.852010
P7,58,1,2,1.672075,0.690842,1.544708,1.230170,2.684238,2.735167,1.882304,2.937176,3.639938,1.031364,3.243097,0.933065,0.428308,2.544040,1.397716,1.735298,2.019436,1.066870,3.562811,3.683008,2.642306,1.221370,0.581907,1.416470,1.049922,0.926653,2.422621
P7,59,1,2,1.645276,0.700966,1.556251,1.336325,2.527045,2.950447,1.892554,2.918845,4.855741,1.050386,3.300143,1.140883,0.382829,2.562057,1.181820,1.519265,2.261790,0.959953,3.224632,3.630527,2.688294,1.381224,0.550323,1.205373,1.146431,1.005300,2.480937
