channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
T7,14,1,2,1.378606,1.050006,1.477328,1.237706,1.512618,2.209193,1.756054,1.426308,2.098105,1.653480,1.614266,1.156485,0.486060,0.832501,1.189181,1.541984,1.393626,0.582595,1.706881,2.048289,1.913637,1.531329,0.534166,0.672044,0.615881,1.146008,1.368038
T7,19,1,2,1.331827,0.936281,1.412601,1.180699,1.119637,1.829302,1.271185,1.083505,1.595827,1.497712,1.910225,0.702622,0.878969,1.052900,0.924902,1.349093,1.805580,0.751313,2.086186,1.684579,2.329244,1.861146,0.813934,0.970240,1.065352,1.343995,1.073307
T7,20,1,2,1.104380,0.738693,1.798583,1.231798,1.320971,2.815651,2.195403,1.686669,5.476250,3.267742,1.548842,0.935205,0.398300,0.991624,1.210376,1.182605,1.161404,0.475936,1.820821,2.178804,2.770487,1.717334,0.349419,0.790371,0.517980,1.766858,1.306759
T7,24,1,2,0.816949,0.865828,1.285979,0.985274,1.153144,1.644105,1.501764,1.221951,3.529012,1.694129,1.960835,1.023849,0.659191,0.850313,1.067671,1.147991,1.724046,0.643710,1.623104,2.291109,3.408631,1.478309,0.580497,1.132876,0.639897,1.255031,1.180665
T7,39,1,2,1.035765,0.746527,1.625641,0.764130,1.478922,2.866764,2.197977,1.609329,4.750985,3.570057,1.441025,0.923260,0.513126,0.956649,1.564049,0.975716,1.162216,0.637885,1.825379,1.877417,3.128071,1.586270,0.322782,0.771220,0.432691,1.649855,1.378598
T7,47,1,2,1.022012,0.801331,1.733268,1.181751,1.311801,2.521923,2.132012,1.521705,4.387201,2.887431,1.641708,0.763570,0.416791,0.604627,1.399228,0.833293,1.491807,0.590802,2.076380,2.389716,2.963853,1.703479,0.388065,0.872094,0.460126,1.197122,1.123425
T7,52,1,2,0.998135,0.956380,1.781100,1.387209,1.291458,2.819239,1.737825,1.202462,3.284868,2.122653,2.148260,0.839752,0.360520,0.500898,1.503933,0.867765,2.116009,0.642841,2.863499,3.085195,2.766460,1.720321,0.492340,0.898686,0.563006,1.068161,1.030152
T7,57,1,2,1.017480,0.966329,1.876523,1.218989,1.291165,2.529459,1.695599,1.210869,2.994105,2.276146,2.253645,0.829443,0.343857,0.492372,1.426658,0.909528,2.258248,0.715628,3.161286,3.389702,2.777788,1.646046,0.507507,0.916862,0.592418,1.140775,1.038553
T7,62,1,2,1.092851,0.813061,2.214930,0.963272,1.306771,2.929712,2.173494,1.545676,4.374191,2.961635,1.724416,0.804644,0.303912,0.574607,1.395351,0.928805,1.453579,0.490713,2.239706,2.492269,2.849782,1.662364,0.410374,0.845284,0.492141,1.233297,1.164616
P7,5,1,2,1.030292,1.242955,0.974254,1.403218,1.321984,1.849551,2.952341,2.111502,0.822653,1.510037,2.117199,0.929328,1.231933,1.049549,0.926629,0.952617,1.310054,0.645820,1.466288,1.265583,1.517394,1.359676,0.532792,0.949708,1.206082,1.643357,1.154277
P7,10,1,2,1.568856,1.229222,0.965003,1.795040,1.374280,1.786475,1.812416,2.018188,0.938139,2.066841,1.727434,1.540424,0.730989,1.272531,1.069517,1.176364,1.027808,0.959568,2.009549,1.436108,1.111818,1.118177,0.880407,1.023987,1.038403,1.251287,1.049595
