channel,freq,C1,C2,testcase1,testcase2,testcase3,testcase4,testcase5,testcase6,testcase7,testcase8,testcase9,testcase10,testcase11,testcase12,testcase13,testcase14,testcase15,testcase16,testcase17,testcase18,testcase19,testcase20,testcase21,testcase22,testcase23,testcase24,testcase25,testcase26,testcase27
T7,9,1,2,1.052495,1.455205,1.076025,1.974105,1.293595,2.832494,0.750791,1.201305,3.286611,2.433807,1.623616,1.883563,0.596557,0.821792,1.363432,1.100591,1.136731,0.284168,2.565185,3.292121,3.072341,1.560623,0.727668,1.529398,0.728489,1.514376,1.693216
T7,10,1,2,2.209319,1.940256,0.854899,2.191531,1.525412,2.961985,1.140122,0.655998,4.380692,1.530481,2.480922,1.564442,0.530661,0.973631,0.923925,0.909299,1.924243,0.320999,1.995357,2.585133,2.850562,1.656489,0.509921,1.266622,0.706538,1.677529,1.279030
T7,11,1,2,2.601799,1.514961,1.175590,1.633429,1.465095,2.826798,1.746484,0.936737,6.993677,2.973130,2.360430,1.051665,0.247862,0.546070,1.211358,1.144804,1.850159,0.173188,2.437288,3.961168,5.108396,1.931747,0.279788,1.752469,0.304747,2.041182,1.917332
T7,12,1,2,2.076109,1.432371,1.300381,1.320543,1.463394,2.730775,1.876290,1.048104,6.320336,3.411150,2.320388,0.909615,0.199764,0.438566,1.551246,1.712181,1.735591,0.155574,2.510614,4.427413,5.535573,2.084795,0.267662,1.904720,0.280281,2.151404,1.943366
T7,13,1,2,1.801721,1.449691,1.489583,0.992134,1.505720,2.659602,1.751181,1.007949,6.572844,3.440237,2.250369,0.919974,0.231144,0.502078,1.653720,1.955228,1.492576,0.164267,2.442616,4.502598,4.808950,2.094645,0.333564,2.099328,0.316484,1.547135,1.887767
T7,14,1,2,1.188835,1.544982,1.974981,1.189420,1.433326,2.643793,0.775846,1.219106,2.843581,1.315648,2.305941,1.252397,0.593809,0.624114,1.259355,1.766565,0.922152,0.499816,2.006174,2.423504,3.022138,2.010264,0.595334,0.998749,0.702581,0.786552,1.531267
T7,15,1,2,1.295324,1.593885,1.004709,1.207088,1.381361,3.285944,0.967401,1.246990,5.965958,3.923221,2.568800,0.735635,0.293898,0.812980,0.952959,1.607969,1.811347,0.169606,2.692357,2.833882,3.208114,2.284637,0.322111,1.857847,0.274510,1.082909,2.115776
T7,16,1,2,1.426652,1.538954,1.078581,1.290148,1.392030,3.001269,1.377147,1.159149,5.909156,4.353295,2.409120,0.684882,0.207869,0.599867,1.118624,1.390142,1.875775,0.135745,2.662667,3.618565,5.061796,2.386062,0.203661,2.131778,0.277686,1.711018,2.092991
T7,17,1,2,1.273896,1.635058,1.098590,1.239024,1.428018,2.897422,1.505075,1.128286,5.603255,4.099782,2.326381,0.696424,0.217293,0.543809,1.201259,1.082339,1.813453,0.141840,2.659893,3.843767,5.540631,2.326313,0.221316,1.980039,0.260189,2.076506,2.121443
T7,18,1,2,1.229509,1.859310,1.048542,1.338441,1.522324,2.754620,1.318512,1.058200,5.161034,3.070666,2.180448,0.608959,0.280538,0.589276,1.266946,1.310320,1.627979,0.214558,2.705089,3.453931,5.075202,2.247182,0.327959,2.074972,0.353107,2.200698,2.342817
T7,19,1,2,0.942633,1.350824,1.411445,1.499179,0.972506,2.916924,0.967091,1.292447,2.138779,1.048108,2.348805,0.643986,0.721565,0.911340,0.894171,1.452179,1.700616,0.765054,1.748448,1.400462,2.959362,1.962398,0.569178,0.826481,1.071361,1.663987,1.241319
T7,20,1,2,1.033645,1.369763,1.549647,1.282633,1.276736,3.468252,1.411896,1.481684,6.256115,3.289886,2.355999,1.101056,0.358604,0.479922,1.188991,1.554801,1.599172,0.224122,2.557664,3.128468,3.882660,2.189094,0.353592,2.609099,0.363039,1.376083,2.111140
T7,21,1,2,1.136411,1.280450,1.439653,1.237381,1.293881,3.168237,1.711263,1.274186,6.699991,3.890517,2.329348,1.106327,0.249057,0.388062,1.252848,1.622765,1.694481,0.144288,2.650015,3.642566,4.603701,2.211104,0.270637,2.272986,0.285683,1.548362,2.114092
T7,22,1,2,1.110572,1.388787,1.502696,1.196773,1.327464,3.105926,1.822727,1.201014,6.656946,3.645813,2.238794,1.172127,0.247866,0.429850,1.181933,1.499552,1.622432,0.126471,2.738671,3.670676,4.462853,2.304569,0.302316,2.221885,0.281366,1.458326,2.147221
T7,23,1,2,0.957022,1.464112,1.423378,1.007760,1.445334,3.370049,1.804799,1.160444,6.361914,2.356888,2.197392,1.097752,0.355928,0.739263,1.036760,1.179206,1.327785,0.238888,2.945157,3.141446,3.564650,2.323551,0.467397,2.002707,0.407893,0.912540,2.200717
T7,25,1,2,0.895609,1.591854,1.544691,0.878098,1.363980,2.731732,1.352778,1.300641,6.752042,3.526715,2.526290,0.818744,0.498059,0.491024,1.121275,1.307340,1.799420,0.230409,2.362045,3.343076,4.019164,1.883271,0.251046,2.151823,0.380807,1.711333,2.226052
T7,26,1,2,0.929806,1.535222,1.414391,1.000655,1.294610,2.723989,1.430838,1.281140,6.774889,4.671852,2.498457,0.858068,0.349537,0.442897,1.307855,1.442741,1.859528,0.176486,2.480323,3.608729,4.409925,1.993522,0.219291,2.061686,0.352966,2.027652,2.164197
T7,27,1,2,0.930520,1.608735,1.355882,1.246578,1.307741,2.593841,1.374210,1.099404,6.283989,4.673293,2.494535,0.832325,0.356247,0.688792,1.320628,1.047326,1.784701,0.192271,2.487458,3.452646,4.032346,1.972341,0.238417,2.149431,0.338824,2.165717,2.352653
T7,28,1,2,0.688905,1.712345,1.046222,1.899261,1.470773,2.066864,0.890386,0.847022,3.006513,2.327696,2.725571,0.702567,0.679426,1.484902,1.041487,1.047245,1.359130,0.666243,2.088208,2.210783,2.555204,2.097710,0.513391,1.369900,0.553558,0.986422,2.488163
T7,29,1,2,1.072083,1.255446,1.047097,1.126870,1.591409,2.491998,1.149971,0.942290,4.480538,1.753285,2.409734,1.062839,0.507703,1.010451,1.485008,1.061521,1.390343,0.380965,2.381995,3.743139,3.520009,1.849670,0.614018,1.763899,0.526897,1.359546,2.142186
T7,30,1,2,0.953085,1.190795,1.558536,0.738846,1.433862,2.955783,1.528850,1.100791,7.236110,3.111250,2.345297,0.964684,0.395194,0.596613,1.486239,0.909730,1.696891,0.188967,2.544793,4.522735,4.711805,2.013308,0.255061,2.204534,0.272262,1.673312,2.131523
T7,31,1,2,0.948021,1.182973,1.469313,0.952517,1.401577,2.968836,1.662189,1.208936,7.528329,3.257817,2.347966,0.807015,0.400079,0.505766,1.455838,1.047818,1.748026,0.179615,2.590533,4.365551,4.309593,2.013360,0.234194,2.174261,0.265559,1.676928,2.119929
T7,32,1,2,0.999376,1.133904,1.111617,1.145464,1.354864,2.983167,1.598338,1.221042,7.805389,2.696425,2.370334,0.944238,0.566452,0.679381,1.121462,1.050715,1.623452,0.258319,2.622975,3.981826,3.312189,1.948521,0.285228,2.307620,0.323880,1.629565,2.069698
T7,34,1,2,1.082077,2.016807,0.915842,0.836449,1.351698,5.394788,0.935178,0.919307,4.587045,1.809283,2.180425,0.969882,0.795428,0.670202,1.106061,0.852107,1.374397,0.331257,2.000014,3.820109,3.080539,2.344356,0.457552,1.642804,0.510780,1.820417,1.709470
T7,35,1,2,0.862474,1.681181,1.297580,0.762050,1.324370,3.981825,1.208906,1.034707,6.354920,2.915373,2.305798,0.802978,0.529188,0.449501,1.173925,0.725308,1.644017,0.135703,2.220861,4.185358,4.673126,2.333784,0.292097,1.872200,0.295936,1.829696,1.874229
T7,36,1,2,0.900704,1.689503,1.544160,0.899242,1.306175,3.424893,1.284933,1.115403,6.616503,3.532233,2.354091,0.783937,0.502325,0.456922,1.191038,0.697660,1.726659,0.132089,2.159551,4.080127,4.773656,2.147443,0.270749,2.021850,0.273334,1.735361,1.962751
T7,37,1,2,1.114583,2.077806,1.613166,1.107878,1.296639,2.996581,1.226947,1.182227,6.678413,3.073180,2.493880,0.722141,0.601352,0.579379,1.132299,0.729389,1.525199,0.281152,1.855943,3.572114,3.534044,1.870927,0.308428,1.821905,0.348168,1.530933,2.292506
T7,38,1,2,0.953818,1.284581,1.171682,0.866441,1.749971,1.674799,1.192323,1.227635,2.993896,2.903381,3.247653,0.813758,0.963544,1.250595,1.016762,1.125840,1.195615,0.784962,1.672870,2.622826,2.325593,1.247932,0.482844,0.850315,0.758064,0.921698,0.970392
T7,39,1,2,1.281708,1.710454,1.303008,0.629579,1.453961,3.351362,1.831293,0.934586,5.566435,2.898074,2.150671,1.395869,0.373314,1.052722,0.919280,1.136452,1.441378,0.280169,2.833544,4.800036,4.728044,1.915015,0.290877,1.935760,0.353552,1.526403,2.096807
T7,40,1,2,1.092956,1.480486,1.274993,0.797894,1.419933,3.249762,1.732982,1.016262,5.632964,3.380134,2.224433,1.374656,0.288430,0.656735,1.097250,0.936792,1.640722,0.229566,2.850031,4.723658,6.225829,2.141364,0.272291,1.979480,0.323408,1.683571,1.904476
